DIAG SET 1: ANN MEANS TROPICS (20N-20S)
 
TEST CASE: corey30 (yrs 2050-2069)
 
CONTROL CASE: b.e11.TSREFC2.f09.g16.ccmi23.001 (yrs 2050-2069)
 
Variable          corey30        b.e11.TSREFC2.f09.g16.ccmi23.001        corey30        RMSE
                                                            -b.e11.TSREFC2.f09.g16.ccmi23.001
RESTOM            49.333              48.396             0.938         2.090
RESSURF           15.928              15.572             0.356         3.519
SOLIN            408.204             408.204             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200           -0.540              -0.544             0.004         0.447
CLDHGH            36.597              36.233             0.364         1.519
CLDLOW            29.564              29.198             0.366         1.465
CLDMED            16.852              16.683             0.170         1.360
CLDTOT            53.641              53.167             0.474         1.497
EKE_850           15.091              14.942             0.148         1.008
EP            -7.830e-02          -8.164e-02         3.341e-03         0.430
FLNS              51.908              51.056             0.852         1.510
FLNSC             67.999              66.476             1.522         1.909
FLNT             244.037             245.617            -1.581         2.699
FLNTC            282.965             284.118            -1.153         1.350
FSDS             215.367             215.395            -0.028         3.017
FSDSC            292.059             291.125             0.934         1.047
FSNS             199.900             199.880             0.020         2.781
FSNSC            272.043             271.154             0.889         0.989
FSNSC_ICE       -999.000            -999.000          -999.000      -999.000
FSNSC_LAND       245.684             244.593             1.092         1.312
FSNT             293.370             294.013            -0.643         2.692
FSNTC            362.095             362.035             0.060         0.249
ICEAREA            0.000               0.000             0.000      -999.000
LHFLX            114.872             116.141            -1.269         4.096
LWCF              38.929              38.501             0.427         1.727
PRECT              4.057               4.105            -0.048         0.397
PRECT_LAND         4.288               4.218             0.070         0.326
PRECT_OCEAN        3.978               4.063            -0.085         0.417
PREH2O            43.187              44.942            -1.755         1.996
PREH2O_OCEAN      44.778              46.716            -1.938         2.140
PSI_200           -0.719              -0.612            -0.108         0.136
PS               995.945             996.018            -0.073         0.259
PSL             1010.653            1010.716            -0.062         0.249
QFLX               3.979               4.023            -0.044         0.108
SHFLX             17.192              17.110             0.081         1.404
SNOWHLND           0.000               0.000             0.000         0.000
SST               27.468              28.052            -0.584         0.627
STRESS_MAG         0.055               0.052             0.002         0.006
SWCF             -68.725             -68.022            -0.702         2.818
T_850            290.601             291.217            -0.617         0.641
TGCLDLWP         138.205             137.299             0.906         8.508
TGCLDIWP          11.961              11.672             0.289         0.901
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS          -999.000            -999.000          -999.000      -999.000
AODDUST         -999.000            -999.000          -999.000      -999.000
TREFHT           299.284             299.866            -0.582         0.611
TS               300.234             300.817            -0.583         0.619
TS_LAND          298.860             299.453            -0.593         0.611
U_200              2.984               3.144            -0.161         0.882
VT_850             0.415               0.257             0.159         0.461
Z3_500            58.684              58.828            -0.143         0.144
